link_id,points_count,stops_computecount,sig_mean_mean,Score,name,geometry,Score_Bus,Score_Rail
cluster8_primary_1_2,7,106,1.6989795918367345,4.7256737958968875,Clairemont Avenue,"LINESTRING (-84.30614048235667 33.78657460458357, -84.3060577 33.78649600000001, -84.305883 33.78635069999999, -84.3058486 33.78631760000001, -84.30570219304117 33.78617707877468)",4.7256737958968875,0.0
cluster8_primary_1_3,7,93,1.7310962846677131,4.603435169899657,Clairemont Avenue,"LINESTRING (-84.30501279176397 33.78564885651668, -84.3048889 33.7855553, -84.304554 33.7853078, -84.30452932311795 33.78528956857608)",4.603435169899657,0.0
cluster8_primary_2_2,7,35,1.75,3.1355790711490963,Clairmont Road,"LINESTRING (-84.30633112546987 33.797833979820425, -84.306354 33.79785650000001, -84.3064751 33.797967, -84.30676636594353 33.79823382602357)",3.1355790711490963,0.0
cluster8_primary_2_3,7,135,1.6426691729323308,4.94429771875621,Clairemont Avenue,"LINESTRING (-84.30684532920334 33.78789876255843, -84.30685750000002 33.78795010000001, -84.3068743 33.7880208, -84.3068873 33.788102800000004, -84.3068896 33.7881205, -84.3068963 33.78817320000002, -84.3069067 33.7882725, -84.3069121 33.78839310000001, -84.30691210000079 33.78843551023438)",4.94429771875621,0.0
cluster8_primary_2_4,7,161,1.6304347826086956,5.1816095060020855,Clairmont Road,"LINESTRING (-84.30677797165805 33.78924873250296, -84.306773 33.7892693, -84.3067489 33.78934459999999, -84.3067191 33.78943749999999, -84.306687 33.789540200000005, -84.3066365 33.7896875, -84.30660897453274 33.78977007641741)",5.1816095060020855,0.0
cluster8_primary_2_5,5,45,1.7235042735042736,3.9685152478824732,Clairmont Road,"LINESTRING (-84.3055821 33.7950286, -84.30560996147594 33.7953683161385)",3.9685152478824732,0.0
cluster8_primary_2_6,5,120,1.6145833333333333,5.197143258901782,Clairmont Road,"LINESTRING (-84.3059351 33.791710599999995, -84.306036 33.7914293)",5.197143258901782,0.0
cluster8_primary_3_2,7,156,1.888866341991342,6.098432883753289,East College Avenue,"LINESTRING (-84.29586569821852 33.76995101618122, -84.29622120000002 33.769829099999995, -84.2963986 33.7697594, -84.29646195378297 33.769741690712074)",5.945849123725596,0.15258376002769292
cluster8_primary_3_3,4,80,1.95,10.605920980400143,East College Avenue,"LINESTRING (-84.2939302 33.770618799999994, -84.2942275 33.77052290000001)",5.936818753560675,4.669102226839467
cluster8_primary_3_4,7,86,2.0721153846153846,5.359918785126026,East College Avenue,"LINESTRING (-84.28944871641745 33.772137537177876, -84.2896467 33.77206809999999, -84.29004509779442 33.77192842764114)",5.359918785126026,0.0
cluster8_primary_3_5,7,43,3.020068027210884,11.087539678551622,East College Avenue,"LINESTRING (-84.2845845968686 33.77385960266374, -84.2849387 33.7737395, -84.28518237772933 33.773653124991014)",5.937794575419857,5.149745103131765
cluster8_primary_3_6,6,48,3.71875,13.32067400010083,East College Avenue,"LINESTRING (-84.28113805444247 33.774765596669035, -84.280926 33.77476980000001, -84.2806606 33.7747751)",8.170928896969066,5.149745103131765
cluster8_primary_3_7,6,41,3.6884920634920633,12.742093393377885,East College Avenue,"LINESTRING (-84.2779346 33.774897299999985, -84.27838344482713 33.774871310936355)",7.59234829024612,5.149745103131765
cluster8_primary_3_8,7,42,3.9166666666666665,12.771226520265074,East College Avenue,"LINESTRING (-84.2771838059059 33.774931640891026, -84.2769879 33.7749452, -84.2769456 33.77494810000001, -84.276752 33.7749615, -84.2766579 33.774968, -84.27653881809567 33.77497626209955)",7.62148141713331,5.149745103131765
cluster8_primary_5_1,7,74,1.5,3.672808508425688,Scott Boulevard,"LINESTRING (-84.29202664864411 33.79233380404895, -84.2918054 33.7924716, -84.29150795928751 33.792656898899075)",3.672808508425688,0.0
cluster8_primary_5_10,7,28,1.5,2.4141568686511503,Scott Boulevard,"LINESTRING (-84.29654268102365 33.78960069639983, -84.296019072374 33.789917919579814)",2.4141568686511503,0.0
cluster8_primary_5_12,7,63,1.5,3.453877639491069,Scott Boulevard,"LINESTRING (-84.29526419407397 33.790383760269165, -84.2950766 33.79049849999999, -84.2949589 33.7905698, -84.29474109110429 33.7907015903056)",3.453877639491069,0.0
cluster8_primary_5_13,7,59,1.5,3.3656168894566685,Scott Boulevard,"LINESTRING (-84.29426510141461 33.79099414919011, -84.2940672 33.7911169, -84.2939517 33.7911885, -84.29374563822397 33.79131631426386)",3.3656168894566685,0.0
cluster8_primary_5_3,7,33,1.75,3.0501962838525905,Scott Boulevard,"LINESTRING (-84.30669841906455 33.7818634939352, -84.3065553 33.7820374, -84.3064293 33.7821889, -84.3063818 33.782243300000005, -84.30632714077372 33.78230628897094)",3.0501962838525905,0.0
cluster8_primary_5_4,7,62,1.75,4.004343622198406,Scott Boulevard,"LINESTRING (-84.3050618 33.78382299999999, -84.3051731 33.783695599999994, -84.3053992 33.78342570000001)",4.004343622198406,0.0
cluster8_primary_5_6,7,77,1.75,4.348586637129,Scott Boulevard,"LINESTRING (-84.30470287389453 33.784215574154345, -84.3044896 33.7844272, -84.304354 33.78454669999999, -84.30427305033786 33.78461912592869)",4.348586637129,0.0
cluster8_primary_5_7,7,60,1.7357142857142858,3.920601002082597,Scott Boulevard,"LINESTRING (-84.30167580345787 33.78648543033399, -84.3019024 33.7863431, -84.3021683 33.7861761, -84.30219371545665 33.78616145202156)",3.920601002082597,0.0
cluster8_primary_5_9,5,39,1.525,3.316496375263345,Scott Boulevard,"LINESTRING (-84.2981333 33.78863849999999, -84.29840921448184 33.788462572796305)",3.316496375263345,0.0
cluster8_primary_6_2,7,44,1.5446428571428572,3.0675301667387425,West College Avenue,"LINESTRING (-84.30574671680537 33.76649561841742, -84.3061926 33.7663388, -84.3063427359227 33.76628588090188)",3.0675301667387425,0.0
cluster8_primary_6_3,7,49,1.5714285714285714,3.2676938512111704,West College Avenue,"LINESTRING (-84.30444895113314 33.7669464904647, -84.3048923 33.7667965, -84.30504862331871 33.76674366127234)",3.2676938512111704,0.0
cluster8_primary_6_4,7,35,1.6,2.866815150764888,West College Avenue,"LINESTRING (-84.30308938931964 33.767410404245304, -84.30368790757115 33.76720538680253)",2.866815150764888,0.0
cluster8_primary_6_5,7,42,1.5833333333333333,3.0810244026709124,West College Avenue,"LINESTRING (-84.30212318459171 33.76774579663442, -84.30271981523907 33.76753720362948)",3.0810244026709124,0.0
cluster8_primary_6_7,7,72,1.548701298701299,3.7533359887252757,West College Avenue,"LINESTRING (-84.2994101506813 33.76868926510305, -84.30000676762471 33.76848063655964)",3.7533359887252757,0.0
cluster8_primary_6_8,7,154,1.808688594014681,5.671132624950059,West College Avenue,"LINESTRING (-84.2978938340068 33.76923681656319, -84.2976425 33.76933019999999, -84.297386 33.769416, -84.29729829026324 33.769447484114224)",5.671132624950059,0.0
cluster8_secondary_11_4,7,126,1.889576883384933,5.563743829570436,South Candler Street,"LINESTRING (-84.292649566875 33.76605240158687, -84.29264583327748 33.76659269840308)",5.563743829570436,0.0
