,Stop ID,Stop Abbr,Stop Name,Lon,Lat,Bus Stop Type,Route(S),Jurisdiction
2119,149045,149045,LAKEWOOD AVE @ LAKEWOOD WAY,-84.392884,33.698895,Sign on Post,42;178,Atlanta
2120,149046,149046,HARPER RD SE @ SWALLOW CIR SE,-84.38568,33.696172,Sign on Post,155,Atlanta
2121,149047,149047,LAKEWOOD AVE @ MACON DR,-84.392123,33.699098,Bench,178,Atlanta
2122,149053,149053,MACON DR SW@LANG DR,-84.390271,33.694772,Sign on Post,178,Atlanta
2123,149055,149055,MACON DR SW@2315,-84.391462,33.691284,Sign on Post,178,Atlanta
2124,149060,149060,HARPER RD SE @ SWALLOW CIR SE,-84.385612,33.696023,Sign on Post,155,Atlanta
2125,149064,149064,MACON DR SW@OLD HAPEVILLE RD SW,-84.390462,33.688671,Sign on Post,178,Atlanta
2126,149072,149072,MACON DR@2144,-84.389298,33.695747,Sign on Post,178,Atlanta
2127,150010,150010,JONESBORO RD SE @ MIDWAY ST SE,-84.364154,33.689999,Sign on Post,4;55,Atlanta
2128,150022,150022,MCWILLIAMS RD SE @ CAREY DR SE,-84.36978,33.688788,Sign on Post,78,Atlanta
2129,150024,150024,MCWILLIAMS RD SE @ 660,-84.366641,33.688718,Sign on Post,78,Atlanta
2130,150026,150026,MCWILLIAMS RD SE @ JONESBORO RD SE,-84.36411,33.688701,Sign on Post,78,Atlanta
2131,150028,150028,JONESBORO RD SE@MIDWAY ST SE,-84.364035,33.689892,Sign on Post,55,Atlanta
2132,150030,150030,JONESBORO RD SE@ 2267,-84.365311,33.691608,Sign on Post,55,Atlanta
2133,150032,150032,JONESBORO RD SE @ CONSTITUTION RD SE,-84.366714,33.693205,Sign on Post,55,Atlanta
2134,150034,150034,JONESBORO RD SE @ HARPER RD SE,-84.369141,33.696167,Sign on Post,55,Atlanta
2135,150036,150036,HARPER RD SE @ BURROUGHS AVE SE,-84.371154,33.696943,Sign on Post,55,Atlanta
2136,150048,150048,BROWNS MILL RD SE @ BROMACK DR SE,-84.377709,33.68772,Sign on Post,78,Atlanta
2137,150050,150050,MCWILLIAMS RD SE @ BROWNS MILL RD SE,-84.373875,33.688787,Bench,78,Atlanta
2138,150058,150058,HARPER RD SE @ MEADOR AVE SE,-84.380279,33.696984,Sign on Post,155,Atlanta
2139,150062,150062,HARPER RD SE @ 359,-84.377444,33.696904,Sign on Post,155,Atlanta
2140,150064,150064,NORTH POINT PKWY @ GREAT OAKS WAY,-84.265327,34.061846,Sign on Post,140,Fulton
2141,150069,150069,JONESBORO RD SE @ CLEVELAND AVE SE,-84.367349,33.680394,Shelter,55;78,Atlanta
2142,150154,150154,JONESBORO RD SE @ CLEVELAND AVE SE,-84.366896,33.680709,Sign on Post,55,Atlanta
2143,150156,150156,FORREST PARK RD SE @ 2155,-84.36036,33.694976,Sign on Post,4,Atlanta
2144,150160,150160,BROWNS MILL RD SE @ LYDIA DR SE,-84.378838,33.686072,Sign on Post,78,Atlanta
2145,150162,150162,NORTH POINT PKWY@ GREAT OAKS WAY,-84.265402,34.062669,Sign on Post,140,Fulton
2146,150179,150179,BROWNS MILL RD SE @ LINDA LN SE,-84.382442,33.68334,Sign on Post,78,Atlanta
2147,150192,150192,NORTH POINT PKWY@GREAT OAKS WAY,-84.269189,34.057112,Sign on Post,140,Fulton
2148,150196,150196,NORTH POINT PKWY@ ROYAL DR,-84.266388,34.05884,Sign on Post,140,Fulton
2149,150204,150204,NORTH POINT PKWY @ ROYAL DR,-84.266791,34.058939,Sign on Post,140,Fulton
2150,150208,150208,NORTH POINT PKWY @ GREAT OAKS WAY (S),-84.269292,34.057356,Sign on Post,140,Fulton
2151,151008,151008,THOMASVILLE DR SE@KIPLING ST SE,-84.355402,33.697521,Sign on Post,4,Atlanta
2152,151010,151010,THOMASVILLE DR SE @ TURNER RD SE,-84.355402,33.697593,Sign on Post,4,Atlanta
2153,151012,151012,THOMASVILLE DR SE @ THOMASVILLE CT SE,-84.357346,33.697252,Sign on Post,4,Atlanta
2154,151014,151014,THOMASVILLE DR SE@THOMASVILLE CT,-84.357911,33.697476,Sign on Post,4,Atlanta
2155,151016,151016,FORREST PARK RD SE @ NORWOOD RD SE,-84.36004,33.696848,Shelter,4,Atlanta
2156,151020,151020,FORREST PARK RD SE @ NORWOOD RD SE,-84.360138,33.696956,Sign on Post,4,Atlanta
2157,151030,151030,VALLEY VIEW RD SE@STONEWALL DR SE,-84.35578,33.690843,Sign on Post,4,Atlanta
2158,151032,151032,VALLEY VIEW RD SE@1056,-84.353423,33.691631,Sign on Post,4,Atlanta
2159,151034,151034,REDFORD DR@NATHAM DR,-84.356713,33.687826,Sign on Post,4,Atlanta
2160,151040,151040,CONSTITUTION RD SE @ STONEWALL DR SE,-84.357095,33.692875,Sign on Post,4,Atlanta
2161,151054,151054,FORREST PARK RD SE@NATHAM DR SE,-84.360039,33.689404,Sign on Post,4;4,Atlanta
2162,151056,151056,FORREST PARK RD SE@STONEWALL DR SE,-84.35997,33.690899,Sign on Post,4;4,Atlanta
2163,151058,151058,FORREST PARK RD SE@CONSTITUTION RD,-84.359932,33.692863,Sign on Post,4;4,Atlanta
2164,151059,151059,CONSTITUTION RD SE @ JONESBORO RD SE,-84.366118,33.693562,Sign on Post,4;4,Atlanta
2165,151060,151060,METRO TRANSITIONAL CENTER,-84.337031,33.688895,Shelter,49;49,DeKalb
2166,151088,151088,MORELAND AVE @ KEY RD,-84.349702,33.695772,Simme Seat,4;49,Atlanta
2167,151090,151090,REGIS RD SE @ CONSTITUTION RD SE,-84.350708,33.692455,Shelter,4,Atlanta
2168,151092,151092,VALLEY VIEW RD@LOCUST LN SE,-84.351869,33.69113,Sign on Post,4,Atlanta
2169,151100,151100,STONEWALL DR SE@OHARA PL SE,-84.356725,33.691595,Sign on Post,4,Atlanta
2170,151109,151109,VALLEY VIEW RD SE@1086,-84.352416,33.691437,Sign on Post,4,Atlanta
2171,151110,151110,VALLEY VIEW RD SE@LEILA LN SE,-84.354922,33.69087,Sign on Post,4,Atlanta
2172,151122,151122,FORREST PARK RD SE@STONEWALL DR SE,-84.360352,33.691174,Sign on Post,4,Atlanta
2173,151124,151124,FORREST PARK RD SE@MIDWAY ST SE,-84.360329,33.689859,Sign on Post,4,Atlanta
2174,151130,151130,REBEL FOREST DR SE@FORREST PARK RD,-84.360042,33.688134,Sign on Post,4,Atlanta
2175,151132,151132,REDFORD DR SE @ FORREST PARK RD SE,-84.35982,33.688801,Sign on Post,4,Atlanta
2176,151134,151134,REDFORD DR SE@955,-84.358016,33.688577,Sign on Post,4,Atlanta
2177,151138,151138,REBEL FOREST DR SE@NATHAM DR SE,-84.357299,33.687351,Sign on Post,4,Atlanta
2178,151142,151142,MORELAND AVE SE @ KEY RD SE,-84.349421,33.695377,Bench,4;49,Atlanta
2179,151144,151144,REDFORD DR SE@REBEL FOREST DR SE,-84.355106,33.686351,Sign on Post,4;4,Atlanta
2180,151148,151148,FORREST PARK RD SE @ CONSTITUTION RD SE,-84.360169,33.693259,Sign on Post,4,Atlanta
2181,151152,151152,REGIS RD SE @ CONSTITUTION RD SE,-84.350364,33.692396,Sign on Post,4,Atlanta
2182,151156,151156,CONSTITUTION RD@FORREST PARK RD,-84.359593,33.693232,Sign on Post,4,Atlanta
2183,152004,152004,BOULDERCREST RD SE@WESTSIDE PL,-84.32014,33.690283,Sign on Post,32,DeKalb
2184,152006,152006,BOULDERCREST RD SE @ 2156,-84.321698,33.693554,Sign on Post,32,DeKalb
2185,152008,152008,BOULDERCREST RD SE@2321,-84.31762,33.690166,Sign on Post,32,DeKalb
2186,152010,152010,BOULDERCREST RD SE@2290,-84.319466,33.69046,Sign on Post,32,DeKalb
2187,152014,152014,BOULDERCREST RD SE@2326,-84.317253,33.690327,Sign on Post,32,DeKalb
2188,152016,152016,BOULDERCREST RD SE @ CHERRY VALLEY DR,-84.3159,33.690072,Shelter,32,DeKalb
2189,152018,152018,BOULDERCREST RD @ CONSTITUTION RD,-84.31414,33.688911,Sign on Post,32,DeKalb
2190,152020,152020,BOULDERCREST RD SE @ CLIFTON CHURCH RD,-84.311363,33.688344,Sign on Post,32,DeKalb
2191,152022,152022,BOULDERCREST RD SE @ CLIFTON CHURCH RD SE,-84.311483,33.688635,Shelter,32,DeKalb
2192,152024,152024,BOULDERCREST RD SE @ BOULDERCREST LN SE,-84.310646,33.687122,Shelter,32,DeKalb
